sample_id	raw_file_name	quant_type	source_column	plate	well	replicate_letter	ip_name	bait_name	condition	is_control	replicate_group	keep	notes
b14522	b14522.raw	Intensity	Intensity b14522	81033PEI	H07	B	b14522	MGST2	81033PEI	N	MGST2__81033PEI	Y	auto_filled_from_archiveSummary
b14523	b14523.raw	Intensity	Intensity b14523	81033PEI	H06	B	b14523	TTC9C	81033PEI	N	TTC9C__81033PEI	Y	auto_filled_from_archiveSummary
b14524	b14524.raw	Intensity	Intensity b14524	81033PEI	H05	B	b14524	SRSF2	81033PEI	N	SRSF2__81033PEI	Y	auto_filled_from_archiveSummary
b14526	b14526.raw	Intensity	Intensity b14526	81033PEI	H03	B	b14526	NUDT10	81033PEI	N	NUDT10__81033PEI	Y	auto_filled_from_archiveSummary
b15935	b15935.raw	Intensity	Intensity b15935	81002	A07	D	b15935	SEP15	81002	N	SEP15__81002	Y	auto_filled_from_archiveSummary
b15939	b15939.raw	Intensity	Intensity b15939	81002	C01	D	b15939	C16orf74	81002	N	C16orf74__81002	Y	auto_filled_from_archiveSummary
b18290	b18290.raw	Intensity	Intensity b18290	OC2116	A02	A	b18290	SREBF2	OC2116	N	SREBF2__OC2116	Y	auto_filled_from_archiveSummary
b18291	b18291.raw	Intensity	Intensity b18291	OC2116	A03	A	b18291	PICK1	OC2116	N	PICK1__OC2116	Y	auto_filled_from_archiveSummary
b18293	b18293.raw	Intensity	Intensity b18293	OC2116	A06	A	b18293	SHOX	OC2116	N	SHOX__OC2116	Y	auto_filled_from_archiveSummary
b18294	b18294.raw	Intensity	Intensity b18294	OC2116	A07	A	b18294	STRA8	OC2116	N	STRA8__OC2116	Y	auto_filled_from_archiveSummary
b18295	b18295.raw	Intensity	Intensity b18295	OC2116	A10	A	b18295	CARD16	OC2116	N	CARD16__OC2116	Y	auto_filled_from_archiveSummary
b18299	b18299.raw	Intensity	Intensity b18299	OC2116	B01	A	b18299	SLC5A1	OC2116	N	SLC5A1__OC2116	Y	auto_filled_from_archiveSummary
b18302	b18302.raw	Intensity	Intensity b18302	OC2116	B04	A	b18302	DEFB109	OC2116	N	DEFB109__OC2116	Y	auto_filled_from_archiveSummary
b18303	b18303.raw	Intensity	Intensity b18303	OC2116	B07	A	b18303	SPANXN2	OC2116	N	SPANXN2__OC2116	Y	auto_filled_from_archiveSummary
b18304	b18304.raw	Intensity	Intensity b18304	OC2116	B09	A	b18304	DEFB112	OC2116	N	DEFB112__OC2116	Y	auto_filled_from_archiveSummary
b18305	b18305.raw	Intensity	Intensity b18305	OC2116	B10	A	b18305	PREX2	OC2116	N	PREX2__OC2116	Y	auto_filled_from_archiveSummary
b18306	b18306.raw	Intensity	Intensity b18306	OC2116	B12	A	b18306	CAPN12	OC2116	N	CAPN12__OC2116	Y	auto_filled_from_archiveSummary
b18309	b18309.raw	Intensity	Intensity b18309	OC2116	C01	A	b18309	UBE2L3	OC2116	N	UBE2L3__OC2116	Y	auto_filled_from_archiveSummary
b18310	b18310.raw	Intensity	Intensity b18310	OC2116	C02	A	b18310	SNRPD3	OC2116	N	SNRPD3__OC2116	Y	auto_filled_from_archiveSummary
b18311	b18311.raw	Intensity	Intensity b18311	OC2116	C03	A	b18311	SEZ6L	OC2116	N	SEZ6L__OC2116	Y	auto_filled_from_archiveSummary
b18312	b18312.raw	Intensity	Intensity b18312	OC2116	C04	A	b18312	FAM150B	OC2116	N	FAM150B__OC2116	Y	auto_filled_from_archiveSummary
b18313	b18313.raw	Intensity	Intensity b18313	OC2116	C05	A	b18313	ESCO2	OC2116	N	ESCO2__OC2116	Y	auto_filled_from_archiveSummary
b18314	b18314.raw	Intensity	Intensity b18314	OC2116	C06	A	b18314	IGFBPL1	OC2116	N	IGFBPL1__OC2116	Y	auto_filled_from_archiveSummary
b18315	b18315.raw	Intensity	Intensity b18315	OC2116	C07	A	b18315	HSF4	OC2116	N	HSF4__OC2116	Y	auto_filled_from_archiveSummary
