b9647	SCFD2
b9958	DBF4
b9959	RHPN1
b9960	PRKG1
b9962	ANXA6
j10274	ZNF428
j10275	RAB28
j10277	EXOG
j10279	LIM2
j10280	TM2D2
j10281	PRR20A
j10282	UBAC2
j10286	NKAIN4
j10287	PRR16
j10288	DKK4
j10290	SPATA12
j10292	PRG3
j10293	CRYBB3
j10294	HIST1H1E
j10295	CSN2
j10296	OAZ3
j10300	MAU2
j10302	CRP
j10303	MOBKL2C
j10304	TNNI3
j10306	IFNA4
j10307	TTLL9
j10309	SOCS3
j10310	RAB15
j10313	CNTF
j10314	SULT1C4
j10315	ARHGEF38
j10316	BAG2
j10317	BCL7A
j10318	IL29
j10319	C9orf139
j10320	HTR3D
j10327	NEK2
j10328	IL22RA2
j10330	RAB5C
j10331	DTD1
j10332	RAB41
j10333	IFNW1
j10334	TMEM182
j10335	RIT1
j10336	GJB7
j10337	YAF2
j10342	C12orf69
j10343	SYNGR4
j10344	OFCC1
j10345	ASB14
j10363	REEP1
j10364	C19orf39
j10365	C18orf21
j10366	C3orf43
j10367	C9orf106
j10368	BCL2L2
j10369	TICAM2
j10370	CD79A
j10371	C11orf85
j10382	CRISPLD1
j10383	TRAF2
j10384	INTS4
j10385	DHX30
j10386	PLB1
j10387	ANGPT2
j10388	THUMPD3
j10389	CHD2
j10390	GDF5
j10391	RFTN2
j10392	CYP2A7
j10393	ZSCAN22
j10396	CYP3A5
j10397	PDHX
j10398	SHMT2
j10399	SLC24A5
j10400	NF2
j10401	TFCP2
j10402	C10orf2
j10403	HHAT
j10404	SMYD1
j10407	ALDH1L1
j10408	KLHL29
j10409	PSMD5
j10410	WASL
j10411	SLC2A6
j10412	CDC20
j10413	HARS2
j10414	AMIGO3
j10419	KCNJ3
j10420	ACCS
j10421	ACVRL1
j10422	ANXA11
j10423	CLCC1
j10424	CYP2E1
j10425	FMN1
j10426	OXA1L
j10427	TXNRD2
j10431	PRKAG3
j10432	ZNF517
j10433	LIPC
j10434	TTC7A
j10435	FAM114A2
j10436	ZSCAN5A
j10437	CAMKV
j10438	AGXT2L1
j10439	LIPG
j10440	EPB41L5
j10441	ZC3HC1
j10445	SLC2A5
j10447	CCDC88C
j10448	TEKT3
j10449	PNPLA2
j10450	CYP2S1
j10488	NEU4
j10489	UBAP1
j10538	PLK1S1
j10539	PRDM1
j10540	FANCM
j10541	DPYSL3
j10542	LZTS2
j10543	BMX
j10544	KIF2B
j10545	ACSBG2
j10546	NCSTN
j10547	RNF6
j10550	ACOX2
j10551	POLR3E
j10554	DDX31
j10555	KIF2A
j10556	TRPM8
j10557	CAPN13
j10560	PRKCA
j10561	PCDHA10
j10562	LCA5L
j10564	HSPA9
j10565	FBXO30
j10566	FBXL5
j10567	GFPT2
j10568	CIRH1A
j10569	CD6
j10572	ANXA6
j10573	TNXB
j10574	PAK6
j10575	ATMIN
j10576	OAS2
j10778	FERMT2
j10779	ALOX15B
j10780	MPP5
j10781	TP63
j10782	GLB1
j10783	SYDE1
j10784	RPH3A
j10785	SH3KBP1
j10786	WDTC1
j10787	SCEL
j10936	OXA1L
j10937	CYP2E1
j13305	NOP2
j13306	NAA15
j13307	GTF3C3
j13308	SLC14A2
j13309	ENPEP
j13310	IGHMBP2
j13311	LLGL2
j13312	PPP2R3A
j13313	CGN
j13314	CGNL1
j13317	COPG
j13318	OCRL
j13319	PLEKHG5
j13320	MAGEE1
j13321	KANK4
j13322	TUBGCP5
j13323	LRIG1
j13324	MAML2
j13325	CHL1
j13326	MAPK8IP3
j13327	YBEY
j13329	EXOC1
j13330	LRRCC1
j13331	SART3
j13333	TRHDE
j13334	THBS2
j13335	AGRP
j13378	GANAB
j13379	ANO6
j13380	ERAP1
j13381	SYCP1
j13382	SEMA6D
j13383	KRBA1
j13389	TLR5
j13390	CHSY3
j13391	PCDHA9
j13392	BMP1
j13393	PHF20
j13394	DCLRE1A
j13395	RANBP6
j13396	PTPN14
j13397	TECPR2
j13398	PTPRU
j13399	TRPC5
j13407	NSMAF
j13408	ECT2
j14220	DEFB123
j14222	ST13
j14224	GNG10
j14225	LST1
j14229	FAM165B
j14232	NDUFA1
j14246	OAZ1
j14252	C5orf62
j14260	SBDSP1
j14262	GNG5
j14268	POLR2L
j14269	RPS28
