oldName	newName	info	oldFileSize	newFileSize	fileExists	fileCopied
b9423_81126_B09_A_00126_050914_15204.raw	b9423.raw	"Bait:ZNF211 (81126, B09)"	208496482	208496482	1	1
j10605_81126_B09_B_00126_051114_15249.raw	j10605.raw	"Bait:ZNF211 (81126, B09)"	187059436	187059436	1	1
b9426_81126_B12_A_00126_050914_15211.raw	b9426.raw	"Bait:ZNF214 (81126, B12)"	206644102	206644102	1	1
j10602_81126_B12_B_00126_051114_15240.raw	j10602.raw	"Bait:ZNF214 (81126, B12)"	179355630	179355630	1	1
j10592_81126_H05_A_00126_050914_15214.raw	j10592.raw	"Bait:ZNF324B (81126, H05)"	198863275	198863275	1	1
q7857_81126_H05_B_00126_051114_15291.raw	q7857.raw	"Bait:ZNF324B (81126, H05)"	180496942	180496942	1	1
j10622_81126_D03_B_00126_051114_15300.raw	j10622.raw	"Bait:ZNF35 (81126, D03)"	177623633	177623633	1	1
j10660_81126_D03_D_00126_051414_15388.raw	j10660.raw	"Bait:ZNF35 (81126, D03)"	184978901	184978901	1	1
b9411_81126_A07_A_00126_050914_15173.raw	b9411.raw	"Bait:BRD3 (81126, A07)"	202539793	202539793	1	1
q7849_81126_A07_B_00126_051114_15262.raw	q7849.raw	"Bait:BRD3 (81126, A07)"	189797868	189797868	1	1
b9437_81126_C09_A_00126_050914_15238.raw	b9437.raw	"Bait:ZNF431 (81126, C09)"	218270780	218270780	1	1
b9479_81126_C09_C_00126_051314_15350.raw	b9479.raw	"Bait:ZNF431 (81126, C09)"	204497399	204497399	1	1
q7828_81126_E11_A_00126_050914_15210.raw	q7828.raw	"Bait:ZNF467 (81126, E11)"	204364638	204364638	1	1
b9462_81126_E11_B_00126_051214_15307.raw	b9462.raw	"Bait:ZNF467 (81126, E11)"	207573706	207573706	1	1
j10591_81126_H01_A_00126_050914_15213.raw	j10591.raw	"Bait:ZNF692 (81126, H01)"	190405104	190405104	1	1
q7858_81126_H01_B_00126_051114_15293.raw	q7858.raw	"Bait:ZNF692 (81126, H01)"	176764617	176764617	1	1
j10584_81126_G08_A_00126_050914_15196.raw	j10584.raw	"Bait:ZNF76 (81126, G08)"	182043203	182043203	1	1
b9453_81126_G08_B_00126_051114_15278.raw	b9453.raw	"Bait:ZNF76 (81126, G08)"	196602705	196602705	1	1
b9418_81126_B02_A_00126_050914_15190.raw	b9418.raw	"Bait:CACNB4 (81126, B02)"	192664249	192664249	1	1
j10610_81126_B02_B_00126_051114_15260.raw	j10610.raw	"Bait:CACNB4 (81126, B02)"	178103314	178103314	1	1
