sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b5766	b5766.raw	Intensity	Intensity b5766					Y	
b5767	b5767.raw	Intensity	Intensity b5767					Y	
b5769	b5769.raw	Intensity	Intensity b5769					Y	
b5770	b5770.raw	Intensity	Intensity b5770					Y	
b5771	b5771.raw	Intensity	Intensity b5771					Y	
b5776	b5776.raw	Intensity	Intensity b5776					Y	
b5777	b5777.raw	Intensity	Intensity b5777					Y	
b5778	b5778.raw	Intensity	Intensity b5778					Y	
b5779	b5779.raw	Intensity	Intensity b5779					Y	
b5780	b5780.raw	Intensity	Intensity b5780					Y	
b5781	b5781.raw	Intensity	Intensity b5781					Y	
b5783	b5783.raw	Intensity	Intensity b5783					Y	
b5784	b5784.raw	Intensity	Intensity b5784					Y	
b5785	b5785.raw	Intensity	Intensity b5785					Y	
b5789	b5789.raw	Intensity	Intensity b5789					Y	
b5791	b5791.raw	Intensity	Intensity b5791					Y	
b5792	b5792.raw	Intensity	Intensity b5792					Y	
b5793	b5793.raw	Intensity	Intensity b5793					Y	
b5794	b5794.raw	Intensity	Intensity b5794					Y	
b5795	b5795.raw	Intensity	Intensity b5795					Y	
b5796	b5796.raw	Intensity	Intensity b5796					Y	
b5797	b5797.raw	Intensity	Intensity b5797					Y	
b5798	b5798.raw	Intensity	Intensity b5798					Y	
b5803	b5803.raw	Intensity	Intensity b5803					Y	
b5804	b5804.raw	Intensity	Intensity b5804					Y	
b5805	b5805.raw	Intensity	Intensity b5805					Y	
b5806	b5806.raw	Intensity	Intensity b5806					Y	
b5807	b5807.raw	Intensity	Intensity b5807					Y	
b5808	b5808.raw	Intensity	Intensity b5808					Y	
b5809	b5809.raw	Intensity	Intensity b5809					Y	
b5810	b5810.raw	Intensity	Intensity b5810					Y	
b5811	b5811.raw	Intensity	Intensity b5811					Y	
b5812	b5812.raw	Intensity	Intensity b5812					Y	
b8578	b8578.raw	Intensity	Intensity b8578					Y	
b8579	b8579.raw	Intensity	Intensity b8579					Y	
b8580	b8580.raw	Intensity	Intensity b8580					Y	
b8581	b8581.raw	Intensity	Intensity b8581					Y	
b8582	b8582.raw	Intensity	Intensity b8582					Y	
b8583	b8583.raw	Intensity	Intensity b8583					Y	
b8584	b8584.raw	Intensity	Intensity b8584					Y	
b8585	b8585.raw	Intensity	Intensity b8585					Y	
b8586	b8586.raw	Intensity	Intensity b8586					Y	
b8587	b8587.raw	Intensity	Intensity b8587					Y	
b8588	b8588.raw	Intensity	Intensity b8588					Y	
b8589	b8589.raw	Intensity	Intensity b8589					Y	
b8593	b8593.raw	Intensity	Intensity b8593					Y	
b8594	b8594.raw	Intensity	Intensity b8594					Y	
b8595	b8595.raw	Intensity	Intensity b8595					Y	
b8597	b8597.raw	Intensity	Intensity b8597					Y	
b8598	b8598.raw	Intensity	Intensity b8598					Y	
b8599	b8599.raw	Intensity	Intensity b8599					Y	
b8600	b8600.raw	Intensity	Intensity b8600					Y	
b8601	b8601.raw	Intensity	Intensity b8601					Y	
b8603	b8603.raw	Intensity	Intensity b8603					Y	
b8604	b8604.raw	Intensity	Intensity b8604					Y	
b8608	b8608.raw	Intensity	Intensity b8608					Y	
b8609	b8609.raw	Intensity	Intensity b8609					Y	
b8610	b8610.raw	Intensity	Intensity b8610					Y	
b8611	b8611.raw	Intensity	Intensity b8611					Y	
b8612	b8612.raw	Intensity	Intensity b8612					Y	
b8613	b8613.raw	Intensity	Intensity b8613					Y	
b8614	b8614.raw	Intensity	Intensity b8614					Y	
b8615	b8615.raw	Intensity	Intensity b8615					Y	
b8616	b8616.raw	Intensity	Intensity b8616					Y	
b8617	b8617.raw	Intensity	Intensity b8617					Y	
b8621	b8621.raw	Intensity	Intensity b8621					Y	
b8623	b8623.raw	Intensity	Intensity b8623					Y	
b8624	b8624.raw	Intensity	Intensity b8624					Y	
b8625	b8625.raw	Intensity	Intensity b8625					Y	
b8626	b8626.raw	Intensity	Intensity b8626					Y	
b8627	b8627.raw	Intensity	Intensity b8627					Y	
b8628	b8628.raw	Intensity	Intensity b8628					Y	
b8629	b8629.raw	Intensity	Intensity b8629					Y	
b8633	b8633.raw	Intensity	Intensity b8633					Y	
b8634	b8634.raw	Intensity	Intensity b8634					Y	
