idRun	idBait	sample_id	replicate_group	replicate_letter	raw_file_name
B20872	FAM81A	B20872	FAM81A	A	B20872.raw
B20875	OR14J1	B20875	OR14J1	A	B20875.raw
B20876	LMOD3	B20876	LMOD3	A	B20876.raw
B20877	OR6T1	B20877	OR6T1	A	B20877.raw
B20879	CHRNA7	B20879	CHRNA7	A	B20879.raw
B20881	LIN52	B20881	LIN52	A	B20881.raw
B20882	CTXN1	B20882	CTXN1	A	B20882.raw
B20883	LGI1	B20883	LGI1	A	B20883.raw
B20885	OR2T33	B20885	OR2T33	A	B20885.raw
B20888	PIP5K1B	B20888	PIP5K1B	A	B20888.raw
B20889	OR14I1	B20889	OR14I1	A	B20889.raw
B20890	GMCL1L	B20890	GMCL1L	A	B20890.raw
B20892	FAM27E3	B20892	FAM27E3	A	B20892.raw
B20893	MAFB	B20893	MAFB	A	B20893.raw
B20894	TCEA1	B20894	TCEA1	A	B20894.raw
B20896	C11orf10	B20896	C11orf10	A	B20896.raw
B20897	C6orf94	B20897	C6orf94	A	B20897.raw
B20898	ATP5L2	B20898	ATP5L2	A	B20898.raw
B20903	CACNG1	B20903	CACNG1	A	B20903.raw
B20904	OR1M1	B20904	OR1M1	A	B20904.raw
B20905	DPF1	B20905	DPF1	A	B20905.raw
B20906	OR2M7	B20906	OR2M7	A	B20906.raw
B20907	PTX3	B20907	PTX3	A	B20907.raw
B20908	PPCS	B20908	PPCS	A	B20908.raw
B20909	UFSP1	B20909	UFSP1	A	B20909.raw
B20911	KLRC2	B20911	KLRC2	A	B20911.raw
B20913	ADPRHL2	B20913	ADPRHL2	A	B20913.raw
B20915	DUXAP10	B20915	DUXAP10	A	B20915.raw
B20916	NEUROD4	B20916	NEUROD4	A	B20916.raw
B20917	OR4N4	B20917	OR4N4	A	B20917.raw
B20918	OR8A1	B20918	OR8A1	A	B20918.raw
B20920	CHRM5	B20920	CHRM5	A	B20920.raw
B20922	LRRC37A2	B20922	LRRC37A2	A	B20922.raw
B20924	KLRK1	B20924	KLRK1	A	B20924.raw
B20925	OR11H12	B20925	OR11H12	A	B20925.raw
B20926	CAB39	B20926	CAB39	A	B20926.raw
B20930	OR51B5	B20930	OR51B5	A	B20930.raw
B20931	RXRB	B20931	RXRB	A	B20931.raw
b3139	LMX1B	b3139	LMX1B	B	b3139.raw
b3140	ZDHHC9	b3140	ZDHHC9	B	b3140.raw
b3141	USP46	b3141	USP46	B	b3141.raw
b3142	INHA	b3142	INHA	B	b3142.raw
b3143	RIC3	b3143	RIC3	B	b3143.raw
b3144	MAB21L3	b3144	MAB21L3	B	b3144.raw
b3147	PSRC1	b3147	PSRC1	B	b3147.raw
b3154	POPDC2	b3154	POPDC2	B	b3154.raw
b3157	TSSK1B	b3157	TSSK1B	B	b3157.raw
b3158	CXCR7	b3158	CXCR7	B	b3158.raw
b3165	RAE1	b3165	RAE1	B	b3165.raw
b3168	NXF5	b3168	NXF5	B	b3168.raw
b3169	CDCA7	b3169	CDCA7	B	b3169.raw
b3170	FKSG43	b3170	FKSG43	B	b3170.raw
b3194	NHLRC2	b3194	NHLRC2	B	b3194.raw
b3197	EBNA1BP2	b3197	EBNA1BP2	B	b3197.raw
b3200	C20orf96	b3200	C20orf96	B	b3200.raw
b3201	HTR1E	b3201	HTR1E	B	b3201.raw
b3207	HTR1E	b3207	HTR1E	A	b3207.raw
b3208	C20orf96	b3208	C20orf96	A	b3208.raw
b3212	EBNA1BP2	b3212	EBNA1BP2	A	b3212.raw
b3532	C7orf46	b3532	C7orf46	B	b3532.raw
b3535	NIT2	b3535	NIT2	B	b3535.raw
b3536	SNAI3	b3536	SNAI3	B	b3536.raw
b3539	CNOT7	b3539	CNOT7	B	b3539.raw
b3541	STX5	b3541	STX5	B	b3541.raw
b3563	VDAC2	b3563	VDAC2	B	b3563.raw
b3564	TRAPPC10	b3564	TRAPPC10	B	b3564.raw
b3566	RPRD1A	b3566	RPRD1A	B	b3566.raw
b3568	TNFSF13B	b3568	TNFSF13B	B	b3568.raw
b3569	PTCRA	b3569	PTCRA	B	b3569.raw
b3570	SPATS1	b3570	SPATS1	B	b3570.raw
b3572	CSGALNACT1	b3572	CSGALNACT1	B	b3572.raw
b3573	CEBPE	b3573	CEBPE	B	b3573.raw
b3579	CTSZ	b3579	CTSZ	B	b3579.raw
b3580	STARD10	b3580	STARD10	B	b3580.raw
b3581	C15orf29	b3581	C15orf29	B	b3581.raw
b3582	FBXO6	b3582	FBXO6	B	b3582.raw
b3585	CAPZA2	b3585	CAPZA2	B	b3585.raw
b3586	AMMECR1	b3586	AMMECR1	B	b3586.raw
b3587	CCDC121	b3587	CCDC121	B	b3587.raw
b3591	SYNE2	b3591	SYNE2	B	b3591.raw
b3592	EFCAB4A	b3592	EFCAB4A	B	b3592.raw
b3594	CCNE2	b3594	CCNE2	B	b3594.raw
b3595	IYD	b3595	IYD	B	b3595.raw
b3596	RAB40AL	b3596	RAB40AL	B	b3596.raw
b3599	FAM175A	b3599	FAM175A	B	b3599.raw
b3604	ITGA4	b3604	ITGA4	B	b3604.raw
b3605	RASSF6	b3605	RASSF6	B	b3605.raw
b3606	WDR92	b3606	WDR92	B	b3606.raw
b3607	CCDC146	b3607	CCDC146	B	b3607.raw
b3608	POPDC3	b3608	POPDC3	B	b3608.raw
b3609	ZNF277	b3609	ZNF277	B	b3609.raw
b3613	SETD3	b3613	SETD3	B	b3613.raw
b3614	NOSIP	b3614	NOSIP	B	b3614.raw
b3615	CNN1	b3615	CNN1	B	b3615.raw
b3624	EXOSC8	b3624	EXOSC8	B	b3624.raw
b3625	EDA2R	b3625	EDA2R	B	b3625.raw
b3626	XRCC2	b3626	XRCC2	B	b3626.raw
b3628	SGCD	b3628	SGCD	B	b3628.raw
b3629	COLEC10	b3629	COLEC10	B	b3629.raw
b3630	F3	b3630	F3	B	b3630.raw
b3631	KIAA0247	b3631	KIAA0247	B	b3631.raw
b3632	PPAP2A	b3632	PPAP2A	B	b3632.raw
b3637	TBC1D3F	b3637	TBC1D3F	B	b3637.raw
b3638	FBXO25	b3638	FBXO25	B	b3638.raw
b3639	CXorf21	b3639	CXorf21	B	b3639.raw
b3640	GTDC1	b3640	GTDC1	B	b3640.raw
b3643	ODF3L1	b3643	ODF3L1	B	b3643.raw
b3653	C3orf32	b3653	C3orf32	B	b3653.raw
b3654	GLYATL1	b3654	GLYATL1	B	b3654.raw
b3656	HSD17B11	b3656	HSD17B11	B	b3656.raw
b3657	MRPL46	b3657	MRPL46	B	b3657.raw
b3658	ZC3H8	b3658	ZC3H8	B	b3658.raw
b3669	DHRS2	b3669	DHRS2	B	b3669.raw
b3670	C19orf46	b3670	C19orf46	B	b3670.raw
b3671	HNMT	b3671	HNMT	B	b3671.raw
b3673	GGPS1	b3673	GGPS1	B	b3673.raw
b3674	LDB3	b3674	LDB3	B	b3674.raw
b3676	GK5	b3676	GK5	B	b3676.raw
b3799	CLN8	b3799	CLN8	B	b3799.raw
b3800	ELOVL2	b3800	ELOVL2	B	b3800.raw
b3801	C3orf32	b3801	C3orf32	A	b3801.raw
b5698	FBXL3	b5698	FBXL3	B	b5698.raw
b5701	KIAA1949	b5701	KIAA1949	B	b5701.raw
b5702	SLC39A4	b5702	SLC39A4	B	b5702.raw
b5703	RBPJ	b5703	RBPJ	B	b5703.raw
b5707	CXADR	b5707	CXADR	B	b5707.raw
b5708	SDF4	b5708	SDF4	B	b5708.raw
b5709	OBFC1	b5709	OBFC1	B	b5709.raw
b5714	PVRL3	b5714	PVRL3	B	b5714.raw
b5716	SERPINA6	b5716	SERPINA6	B	b5716.raw
b5717	DNM3	b5717	DNM3	B	b5717.raw
b5718	NUP50	b5718	NUP50	B	b5718.raw
b5719	CD244	b5719	CD244	B	b5719.raw
b5720	C9orf156	b5720	C9orf156	B	b5720.raw
b5721	SMPD1	b5721	SMPD1	B	b5721.raw
b5722	KIAA1456	b5722	KIAA1456	B	b5722.raw
b5723	ZNF707	b5723	ZNF707	B	b5723.raw
b5728	USP38	b5728	USP38	B	b5728.raw
b5729	TRIM16	b5729	TRIM16	B	b5729.raw
b5730	MCAM	b5730	MCAM	B	b5730.raw
b5731	CDCA7L	b5731	CDCA7L	B	b5731.raw
b5732	AHSG	b5732	AHSG	B	b5732.raw
b5734	GABRE	b5734	GABRE	B	b5734.raw
b5735	PSAT1	b5735	PSAT1	B	b5735.raw
b5736	PARVA	b5736	PARVA	B	b5736.raw
b5737	HMBS	b5737	HMBS	B	b5737.raw
b5746	FAM188A	b5746	FAM188A	B	b5746.raw
b5747	B3GNT3	b5747	B3GNT3	B	b5747.raw
b5748	DCTN1	b5748	DCTN1	B	b5748.raw
b5749	IGSF8	b5749	IGSF8	B	b5749.raw
b5751	DLD	b5751	DLD	B	b5751.raw
b5752	AUP1	b5752	AUP1	B	b5752.raw
b5753	IDH3A	b5753	IDH3A	B	b5753.raw
b5754	ARPC1A	b5754	ARPC1A	B	b5754.raw
b5756	USP18	b5756	USP18	B	b5756.raw
b5763	MMRN1	b5763	MMRN1	B	b5763.raw
b5764	PPARD	b5764	PPARD	B	b5764.raw
b5765	MYT1	b5765	MYT1	B	b5765.raw
b5766	PABPC5	b5766	PABPC5	B	b5766.raw
b5767	ANKRD16	b5767	ANKRD16	B	b5767.raw
b5769	TTC23L	b5769	TTC23L	B	b5769.raw
b5770	SDC3	b5770	SDC3	B	b5770.raw
b5771	GRINL1A	b5771	GRINL1A	B	b5771.raw
b5776	PRKAR2B	b5776	PRKAR2B	B	b5776.raw
b5777	GPR52	b5777	GPR52	B	b5777.raw
b5778	HLA-B	b5778	HLA-B	B	b5778.raw
b5779	LMNA	b5779	LMNA	B	b5779.raw
b5780	GMPR2	b5780	GMPR2	B	b5780.raw
b5781	PNMA2	b5781	PNMA2	B	b5781.raw
b5783	POGZ	b5783	POGZ	B	b5783.raw
b5784	GLUL	b5784	GLUL	B	b5784.raw
b5785	H2AFY2	b5785	H2AFY2	B	b5785.raw
b5789	CLEC18A	b5789	CLEC18A	B	b5789.raw
b5791	PHF15	b5791	PHF15	B	b5791.raw
b5792	DNAJC11	b5792	DNAJC11	B	b5792.raw
b5793	ARHGEF10	b5793	ARHGEF10	B	b5793.raw
b5794	RSAD2	b5794	RSAD2	B	b5794.raw
b5795	PARD6B	b5795	PARD6B	B	b5795.raw
b5796	CREB3	b5796	CREB3	B	b5796.raw
b5797	LIPT1	b5797	LIPT1	B	b5797.raw
b5798	HLA-C	b5798	HLA-C	B	b5798.raw
b5803	ADH1C	b5803	ADH1C	B	b5803.raw
b5804	DZIP3	b5804	DZIP3	B	b5804.raw
b5805	TEAD4	b5805	TEAD4	B	b5805.raw
b5806	NT5E	b5806	NT5E	B	b5806.raw
b5807	C8orf45	b5807	C8orf45	B	b5807.raw
b5808	VASP	b5808	VASP	B	b5808.raw
b5809	GPR183	b5809	GPR183	B	b5809.raw
b5810	PEX3	b5810	PEX3	B	b5810.raw
b5811	SLC35C1	b5811	SLC35C1	B	b5811.raw
b5812	SSBP2	b5812	SSBP2	B	b5812.raw
b8578	TBL1Y	b8578	TBL1Y	B	b8578.raw
b8579	ZMYND11	b8579	ZMYND11	B	b8579.raw
b8580	ZNF238	b8580	ZNF238	B	b8580.raw
b8581	SNX1	b8581	SNX1	B	b8581.raw
b8582	POLE2	b8582	POLE2	B	b8582.raw
b8583	ZNF449	b8583	ZNF449	B	b8583.raw
b8584	DYNC1LI1	b8584	DYNC1LI1	B	b8584.raw
b8585	VANGL1	b8585	VANGL1	B	b8585.raw
b8586	CYP4F12	b8586	CYP4F12	B	b8586.raw
b8587	TNK2	b8587	TNK2	B	b8587.raw
b8588	DYRK4	b8588	DYRK4	B	b8588.raw
b8589	DPYS	b8589	DPYS	B	b8589.raw
b8593	TIGD6	b8593	TIGD6	B	b8593.raw
b8594	FBXW11	b8594	FBXW11	B	b8594.raw
b8595	PLXNA4	b8595	PLXNA4	B	b8595.raw
b8597	CAT	b8597	CAT	B	b8597.raw
b8598	TMEM209	b8598	TMEM209	B	b8598.raw
b8599	FAM98A	b8599	FAM98A	B	b8599.raw
b8600	NAB2	b8600	NAB2	B	b8600.raw
b8601	ATP5B	b8601	ATP5B	B	b8601.raw
b8603	MARCO	b8603	MARCO	B	b8603.raw
