sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
j10547	j10547.raw	81110	B01	B	j10547	RNF6	RNF6	Y
j10550	j10550.raw	81110	E01	A	j10550	ACOX2	ACOX2	Y
j10551	j10551.raw	81110	E02	A	j10551	POLR3E	POLR3E	Y
j10554	j10554.raw	81110	E09	A	j10554	DDX31	DDX31	Y
j10555	j10555.raw	81110	E10	A	j10555	KIF2A	KIF2A	Y
j10556	j10556.raw	81110	E11	A	j10556	TRPM8	TRPM8	Y
j10557	j10557.raw	81110	E12	A	j10557	CAPN13	CAPN13	Y
j10560	j10560.raw	81110	D12	B	j10560	PRKCA	PRKCA	Y
j10561	j10561.raw	81110	D11	B	j10561	PCDHA10	PCDHA10	Y
j10562	j10562.raw	81110	D10	B	j10562	LCA5L	LCA5L	Y
j10564	j10564.raw	81110	D07	B	j10564	HSPA9	HSPA9	Y
j10565	j10565.raw	81110	D06	B	j10565	FBXO30	FBXO30	Y
j10566	j10566.raw	81110	D05	B	j10566	FBXL5	FBXL5	Y
j10567	j10567.raw	81110	D04	B	j10567	GFPT2	GFPT2	Y
j10568	j10568.raw	81110	D03	B	j10568	CIRH1A	CIRH1A	Y
j10569	j10569.raw	81110	D02	B	j10569	CD6	CD6	Y
j10572	j10572.raw	81110	F05	B	j10572	ANXA6	ANXA6	Y
j10573	j10573.raw	81110	F04	B	j10573	TNXB	TNXB	Y
j10574	j10574.raw	81110	F03	B	j10574	PAK6	PAK6	Y
j10575	j10575.raw	81110	F02	B	j10575	ATMIN	ATMIN	Y
j10576	j10576.raw	81110	F01	B	j10576	OAS2	OAS2	Y
j10778	j10778.raw	81110	H10	B	j10778	FERMT2	FERMT2	Y
j10779	j10779.raw	81110	H09	B	j10779	ALOX15B	ALOX15B	Y
j10780	j10780.raw	81110	H08	B	j10780	MPP5	MPP5	Y
j10781	j10781.raw	81110	H07	B	j10781	TP63	TP63	Y
j10782	j10782.raw	81110	H06	B	j10782	GLB1	GLB1	Y
j10783	j10783.raw	81110	H05	B	j10783	SYDE1	SYDE1	Y
j10784	j10784.raw	81110	H04	B	j10784	RPH3A	RPH3A	Y
j10785	j10785.raw	81110	H03	B	j10785	SH3KBP1	SH3KBP1	Y
j10786	j10786.raw	81110	H02	B	j10786	WDTC1	WDTC1	Y
j10787	j10787.raw	81110	H01	B	j10787	SCEL	SCEL	Y
j10936	j10936.raw	81094	G10	C	j10936	OXA1L	OXA1L	Y
j10937	j10937.raw	81094	G08	C	j10937	CYP2E1	CYP2E1	Y
j13305	j13305.raw	81131	A01	A	j13305	NOP2	NOP2	Y
j13306	j13306.raw	81131	A02	A	j13306	NAA15	NAA15	Y
